NTA,NTA_Name
MN04,Hamilton Heights
MN12,Upper West Side
MN12,Upper West Side
MN04,Hamilton Heights
MN04,Hamilton Heights
MN12,Upper West Side
MN04,Hamilton Heights
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
MN25,Battery Park City-Lower Manhattan
BX13,Co-op City
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
BX13,Co-op City
BX13,Co-op City
MN36,Washington Heights South
MN32,Yorkville
MN36,Washington Heights South
MN36,Washington Heights South
QN29,Elmhurst
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
QN29,Elmhurst
MN36,Washington Heights South
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
QN29,Elmhurst
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
QN29,Elmhurst
QN29,Elmhurst
QN29,Elmhurst
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
QN29,Elmhurst
QN29,Elmhurst
MN32,Yorkville
MN32,Yorkville
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN36,Washington Heights South
MN32,Yorkville
BK76,Greenpoint
BK37,Park Slope-Gowanus
BK76,Greenpoint
QN31,Hunters Point-Sunnyside-West Maspeth
BK37,Park Slope-Gowanus
QN28,Jackson Heights
BK37,Park Slope-Gowanus
QN31,Hunters Point-Sunnyside-West Maspeth
BK37,Park Slope-Gowanus
BK76,Greenpoint
BK37,Park Slope-Gowanus
QN28,Jackson Heights
QN31,Hunters Point-Sunnyside-West Maspeth
BK76,Greenpoint
BK73,North Side-South Side
BK73,North Side-South Side
BK73,North Side-South Side
BK73,North Side-South Side
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN54,Richmond Hill
QN31,Hunters Point-Sunnyside-West Maspeth
BK41,Kensington-Ocean Parkway
QN31,Hunters Point-Sunnyside-West Maspeth
QN31,Hunters Point-Sunnyside-West Maspeth
BK41,Kensington-Ocean Parkway
QN31,Hunters Point-Sunnyside-West Maspeth
BK41,Kensington-Ocean Parkway
BK41,Kensington-Ocean Parkway
BK41,Kensington-Ocean Parkway
MN15,Clinton
BK31,Bay Ridge
MN15,Clinton
MN15,Clinton
MN22,East Village
MN15,Clinton
MN22,East Village
BK31,Bay Ridge
MN15,Clinton
MN22,East Village
BK31,Bay Ridge
BK31,Bay Ridge
MN15,Clinton
MN12,Upper West Side
MN12,Upper West Side
QN20,Ridgewood
QN20,Ridgewood
QN20,Ridgewood
QN20,Ridgewood
MN12,Upper West Side
BK73,North Side-South Side
BK73,North Side-South Side
QN20,Ridgewood
QN20,Ridgewood
BK73,North Side-South Side
QN20,Ridgewood
QN21,Middle Village
QN21,Middle Village
QN21,Middle Village
QN21,Middle Village
MN22,East Village
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN28,Lower East Side
MN28,Lower East Side
BK42,Flatbush
BK42,Flatbush
BK42,Flatbush
MN12,Upper West Side
MN12,Upper West Side
MN28,Lower East Side
BK42,Flatbush
BK42,Flatbush
BK42,Flatbush
BK37,Park Slope-Gowanus
MN15,Clinton
MN40,Upper East Side-Carnegie Hill
QN70,Astoria
QN70,Astoria
QN70,Astoria
MN19,Turtle Bay-East Midtown
MN19,Turtle Bay-East Midtown
MN19,Turtle Bay-East Midtown
MN19,Turtle Bay-East Midtown
MN19,Turtle Bay-East Midtown
MN19,Turtle Bay-East Midtown
BK68,Fort Greene
BK68,Fort Greene
BK68,Fort Greene
BK68,Fort Greene
